source,direction,elbow_flexion_deg,moment_Nm
# Holzbaur, Murray & Delp (2005) Fig. 5A, maximum isometric elbow moments versus elbow flexion (shoulder / forearm / wrist neutral).
# Digitized by eye from a 300-dpi render of the local PDF with axis calibration (0 deg at px 278, 4.5 px/deg; 0 N m at px 451, 3.7 px/N m); reading error about +/-3 N m.
# Measured data reproduced there from Buchanan et al. and Amis et al.; flexion positive, extension negative. Model = Holzbaur's own model curve.
Buchanan,flexion,20,38
Buchanan,flexion,30,42
Buchanan,flexion,40,45
Buchanan,flexion,50,55
Buchanan,flexion,70,68
Buchanan,flexion,80,72
Buchanan,flexion,90,78
Buchanan,flexion,100,79
Buchanan,flexion,110,76
Buchanan,flexion,130,58
Amis,flexion,0,52
Amis,flexion,12,58
Amis,flexion,30,68
Amis,flexion,49,73
Amis,flexion,60,76
Amis,flexion,79,72
Amis,flexion,90,69
Amis,flexion,100,64
Amis,flexion,119,54
Amis,flexion,129,45
Amis,flexion,145,35
Buchanan,extension,20,-20
Buchanan,extension,30,-23
Buchanan,extension,40,-30
Buchanan,extension,50,-36
Buchanan,extension,70,-46
Buchanan,extension,80,-49
Buchanan,extension,100,-51
Buchanan,extension,110,-50
Buchanan,extension,130,-40
Amis,extension,0,-35
Amis,extension,20,-39
Amis,extension,39,-45
Amis,extension,60,-51
Amis,extension,90,-52
Amis,extension,100,-50
Amis,extension,129,-45
Amis,extension,145,-41
Model,flexion,0,30
Model,flexion,90,97
Model,flexion,130,40
Model,extension,0,-26
Model,extension,35,-41
Model,extension,130,-33
