panel,muscle,elbow_flexion_deg,moment_arm_cm
model,BRA,0,0.891
model,BRA,5,1.027
model,BRA,10,1.143
model,BRA,15,1.259
model,BRA,20,1.384
model,BRA,25,1.501
model,BRA,30,1.646
model,BRA,35,1.724
model,BRA,40,1.855
model,BRA,45,1.927
model,BRA,50,2.039
model,BRA,55,2.138
model,BRA,60,2.232
model,BRA,65,2.324
model,BRA,70,2.407
model,BRA,75,2.499
model,BRA,80,2.586
model,BRA,85,2.633
model,BRA,90,2.678
model,BRA,95,2.751
model,BRA,100,2.760
model,BRA,105,2.823
model,BRA,110,2.881
model,BRA,115,2.877
model,BRA,120,2.880
model,BRA,125,2.880
model,BRA,130,2.880
model,BIC,0,1.414
model,BIC,5,1.433
model,BIC,10,1.617
model,BIC,15,1.758
model,BIC,20,1.863
model,BIC,25,2.003
model,BIC,30,2.121
model,BIC,35,2.231
model,BIC,40,2.373
model,BIC,45,2.506
model,BIC,50,2.625
model,BIC,55,2.736
model,BIC,60,2.833
model,BIC,65,2.906
model,BIC,70,3.031
model,BIC,75,3.114
model,BIC,80,3.199
model,BIC,85,3.225
model,BIC,90,3.328
model,BIC,95,3.387
model,BIC,100,3.406
model,BIC,105,3.458
model,BIC,110,3.506
model,BIC,115,3.492
model,BIC,120,3.490
model,BIC,125,3.330
model,BIC,130,3.050
model,BRD,0,1.414
model,BRD,5,1.671
model,BRD,10,1.918
model,BRD,15,2.194
model,BRD,20,2.383
model,BRD,25,2.605
model,BRD,30,2.804
model,BRD,35,2.964
model,BRD,40,3.143
model,BRD,45,3.322
model,BRD,50,3.462
model,BRD,55,3.564
model,BRD,60,3.671
model,BRD,65,3.908
model,BRD,70,4.199
model,BRD,75,4.465
model,BRD,80,4.726
model,BRD,85,5.002
model,BRD,90,5.201
model,BRD,95,5.385
model,BRD,100,5.574
model,BRD,105,5.661
model,BRD,110,5.782
model,BRD,115,5.821
model,BRD,120,5.910
model,BRD,125,5.782
model,BRD,130,5.746
model,TRI,0,-2.886
model,TRI,5,-2.915
model,TRI,10,-2.964
model,TRI,15,-2.966
model,TRI,20,-2.925
model,TRI,25,-2.886
model,TRI,30,-2.809
model,TRI,35,-2.818
model,TRI,40,-2.818
model,TRI,45,-2.789
model,TRI,50,-2.775
model,TRI,55,-2.775
model,TRI,60,-2.714
model,TRI,65,-2.644
model,TRI,70,-2.615
model,TRI,75,-2.538
model,TRI,80,-2.470
model,TRI,85,-2.407
model,TRI,90,-2.305
model,TRI,95,-2.257
model,TRI,100,-2.310
model,TRI,105,-2.310
model,TRI,110,-2.257
model,TRI,115,-2.259
model,TRI,120,-2.210
model,TRI,125,-2.160
model,TRI,130,-2.160
male,BRA,25,1.354
male,BRA,30,1.495
male,BRA,35,1.566
male,BRA,40,1.671
male,BRA,45,1.817
male,BRA,50,1.910
male,BRA,55,2.013
male,BRA,60,2.144
male,BRA,65,2.296
male,BRA,70,2.403
male,BRA,75,2.510
male,BRA,80,2.639
male,BRA,85,2.755
male,BRA,90,2.864
male,BRA,95,2.984
male,BRA,100,3.067
male,BRA,105,3.145
male,BRA,110,3.223
male,BRA,115,3.286
